	categories_list
Aquarian Age	[Drama, Mystery, Romance, BasedonaCardGame, Music]
Aquarian Age: The Movie	[Fantasy, Mystery, BasedonaCardGame]
Aquarion Evol	[Action, Comedy, Mecha, Romance, SciFi, Aliens, CombiningMecha, OriginalWork]
Aquarion Logos	[Action, Mecha, SciFi, CombiningMecha, OriginalWork]
Aquarion Movie	[Mecha, SciFi]
Aquatic	[Abstract, OriginalWork, Shorts]
Ar Tonelico Sekai no Owari de Utai Tsuzukeru Shoujo	[Fantasy, BasedonaVideoGame, Magic, Mercenaries, Monsters]
Arabian Nights: Sinbad no Boken	[Action, Adventure, Fantasy, BasedonaFairyTale, FamilyFriendly]
Araiguma Rascal	[BasedonaNovel, WorldMasterpieceTheater]
Arakawa Under the Bridge	[Comedy, Romance, Seinen, BasedonaManga]
Arakawa Under the Bridge x Bridge	[Comedy, Romance, Seinen, BasedonaManga]
Arashi no Yoru ni	[AnimalProtagonists, BasedonaNovel, FamilyFriendly]
Arashi no Yoru ni: Himitsu no Tomodachi	[AnimalProtagonists, BasedonaNovel, FamilyFriendly]
Arata the Legend	[Adventure, Fantasy, BasedonaManga, PersoninaStrangeWorld]
Arata-naru Sekai	[]
Arc the Lad	[Adventure, Fantasy, BasedonaVideoGame, Magic]
Arcade Gamer Fubuki	[Comedy, Ecchi, BasedonaManga, Tournaments]
Arcade Gamer Fubuki Special	[BasedonaManga]
Arcadia of My Youth	[Action, SciFi, BasedonaManga]
Archetypes Forces	[Action, SciFi, Aliens, OriginalWork, OuterSpace, Violence]
Area 88	[Aviation, BasedonaManga, Military]
Area 88 TV	[Aviation, BasedonaManga, Military]
Area no Kishi	[Sports, BasedonaManga, Soccer]
Arei no Kagami: Way to the Virgin Space	[OriginalWork]
Argento Soma	[Action, Mecha, SciFi, Aliens, Military, OriginalWork, Revenge]
Argento Soma Special	[OriginalWork]
Aria the Animation	[SliceofLife, BasedonaManga, WorkLife]
Aria the Avvenire	[SliceofLife, BasedonaManga]
Aria the Natural	[SliceofLife, BasedonaManga, WorkLife]
Aria the Natural Special	[SliceofLife, BasedonaManga]
Aria the OVA: Arietta	[SliceofLife, BasedonaManga]
Aria the Origination	[SliceofLife, BasedonaManga, WorkLife]
Aria the Origination Picture Drama	[SliceofLife, BasedonaManga, PictureDrama]
Aria the Origination Special	[SliceofLife, BasedonaManga]
Ariel	[Comedy, Mecha, SciFi, OriginalWork]
Ariel Deluxe	[Comedy, Mecha, SciFi, OriginalWork]
Arion	[Fantasy, BasedonaManga]
Ark IX	[BasedonaLightNovel, Post-apocalyptic]
Armitage III	[Action, SciFi, Androids, Cyberpunk, OriginalWork, Robots]
Armitage III Dual-Matrix	[Action, SciFi, Androids, Cyberpunk, OriginalWork, Robots]
Armitage III Poly-Matrix	[Action, SciFi, Androids, Cyberpunk, OriginalWork, Robots]
Armor Hunter Mellowlink	[SciFi, OriginalWork]
Armored Dragon Legend Villgust	[Comedy, Fantasy, BasedonaVideoGame, RPG]
Armored Trooper Votoms	[Action, Mecha, SciFi, Military, OriginalWork, War]
Armored Trooper Votoms Case;Irvine	[OriginalWork]
Armored Trooper Votoms: Alone Again	[OriginalWork]
Armored Trooper Votoms: Big Battle	[Action, Mecha, SciFi, OriginalWork]
Armored Trooper Votoms: Finder	[OriginalWork]
Armored Trooper Votoms: Pailsen Files	[Mecha, SciFi, Military, OriginalWork]
Armored Trooper Votoms: Pailsen Files Movie	[OriginalWork]
Armored Trooper Votoms: Phantom Arc	[OriginalWork]
Armored Trooper Votoms: Red Shoulder Document - Roots of Treachery	[Action, Mecha, SciFi, Military, OriginalWork]
Armored Trooper Votoms: The Brilliant Heretic	[OriginalWork]
Armored Trooper Votoms: The Last Red Shoulder	[Action, Mecha, SciFi, Military, OriginalWork]
Around	[OriginalWork, Shorts]
Arrow Emblem Grand Prix no Taka	[Action, Sports, Cars, OriginalWork, Racing]
Arslan Senki	[Action, Adventure, Fantasy, AnimalAbuse, BasedonaManga, Medieval, Military, Political, Swordplay, Violence, War]
Arslan Senki (2016)	[Action, Adventure, Fantasy, BasedonaManga, Medieval, Military, Political, Swordplay, Violence, War]
Arslan Senki Specials	[Comedy]
Arslan Senki: Dakkan no Yaiba	[Recap]
Art of Fighting	[Action, BasedonaVideoGame, MartialArts]
Aru Hi Inu no Kuni kara Tegami ga Kite	[Shoujo, BasedonaManga]
Aru Zombie Shoujo no Sainan	[BasedonaLightNovel, Zombies]
Arve Rezzle: Kikaijikake no Yousei-tachi	[Action, SciFi, AnimeMirai, BasedonaLightNovel, Cyberpunk]
Asa Made Jugyou Chu!	[Comedy, Ecchi, BasedonaManga, Crossdressing]
Asagiri no Miko	[Action, Comedy, BasedonaManga, Magic, Supernatural]
Asatte no Houkou	[Drama, AgeTransformation, BasedonaManga, Supernatural]
Ashiaraiyashiki no Juunin-tachi.	[BasedonaManga]
Ashita Tenki ni Nare!	[Sports, BasedonaManga, Golf]
Ashita e Free Kick	[Sports, OriginalWork, Soccer]
Ashita no Joe	[Sports, BasedonaManga, Boxing, HandtoHandCombat]
Ashita no Joe 2	[Drama, Sports, BasedonaManga, Boxing, HandtoHandCombat]
Ashita no Joe 2 Movie	[Drama, Sports, BasedonaManga, Boxing, HandtoHandCombat]
Ashita no Joe Movie	[Drama, Sports, BasedonaManga, Boxing, HandtoHandCombat]
Ashita no Joe Pilots	[Sports, BasedonaManga, Boxing, HandtoHandCombat]
Ashita no Nadja	[Adventure, Drama, Romance, Europe, OriginalWork]
Asian Kung-Fu Generation: Atarashii Sekai	[]
Ask Dr. Rin!	[MagicalGirl, Romance, BasedonaManga, SchoolLife]
Asobi ni Iku yo!	[Action, Ecchi, SciFi, Seinen, Aliens, BasedonaLightNovel, Robots]
Asobi ni Iku yo! Asobi ni Oide	[Ecchi, BasedonaLightNovel]
Asobi ni Iku yo! Asobi ni Oide Special	[Comedy]
Asobotto Senki Goku	[Action, Adventure, SciFi, Shounen, BasedonaManga, JourneytotheWest]
Assassination Classroom	[Action, Comedy, Aliens, Assassins, BasedonaManga, SchoolLife]
Assassination Classroom Episode 0: Deai no Jikan	[Action, Comedy, Aliens, BasedonaManga, SchoolLife]
Assassination Classroom TV	[Action, Comedy, Assassins, BasedonaManga, SchoolLife]
Assassination Classroom TV 2nd Season	[Action, Comedy, Assassins, BasedonaManga, SchoolLife]
Assemble Insert	[BasedonaManga, Parody]
Astroboy (1963)	[SciFi, BasedonaManga, BlackandWhite, Robots]
Astroboy (1980)	[Action, BasedonaManga, Robots]
Astroboy (2003)	[SciFi, BasedonaManga, Robots]
Astroganger	[OriginalWork]
Asu no Yoichi!	[Comedy, Ecchi, Harem, BasedonaManga, Samurai]
Asura	[Action, Drama, BasedonaManga]
Asura Cryin'	[Action, BasedonaLightNovel, Supernatural]
Asura Cryin' 2	[Action, BasedonaLightNovel, Supernatural]
Atama Yama	[Fantasy, Shorts]
Atashinchi	[Comedy, SliceofLife, BasedonaManga, Episodic, FamilyFriendly]
Attack No. 1	[Shoujo, Sports, BasedonaManga, LoveTriangle, SchoolLife]
Attack on Titan	[Action, Fantasy, Horror, BasedonaManga, Military, Violence]
Attack on Titan 2nd Season	[Action, Fantasy, Horror, BasedonaManga]
Attack on Titan Movie 1: Guren no Yumiya	[BasedonaManga, Recap]
Attack on Titan Movie 2: Jiyuu no Tsubasa	[BasedonaManga, Recap]
Attack on Titan OVA	[Action, Fantasy, Horror, BasedonaManga, Violence]
Attack on Titan Picture Drama	[Comedy, Fantasy, BasedonaManga, Chibi, PictureDrama]
Attack on Titan: Junior High	[Comedy, Fantasy, BasedonaManga, Chibi, Parody, SchoolLife]
Attack on Titan: No Regrets - Birth of Levi	[Action, Fantasy, BasedonaManga, ExplicitViolence, Military]
Attack on Titan: Since That Day	[Action, Fantasy, Horror, BasedonaManga, Recap, Violence]
Attacker You!	[Sports, BasedonaManga]
Attraction	[OriginalWork, Shorts]
Au Fou!	[Comedy, Abstract, OriginalWork, Shorts]
Aura Battle Dunbine: The Tale of Neo Byston Well	[OriginalWork]
Aura Battler Dunbine	[Action, Mecha, Military, OriginalWork, PersoninaStrangeWorld, War]
Aura: Maryuuinkouga Saigo no Tatakai	[Drama, Romance, BasedonaLightNovel, Bullying, SchoolLife]
Avenger	[Adventure, Fantasy, SciFi, Androids, OriginalWork, Robots]
Avengers Confidential: Black Widow & Punisher	[Action, BasedonaComicBook, MarvelComics]
Ayakashi	[Action, BasedonanEroge, BasedonaVisualNovel, Superpowers]
Ayakashi - Japanese Classic Horror	[Fantasy, Horror, BasedonaNovel, Collections, Demons, JapaneseMythology, noitaminA, OriginalWork, Violence]
Ayane's High Kick	[Sports, HandtoHandCombat, OriginalWork]
Ayashi no Ceres	[Fantasy, Romance, Angels, BasedonaManga, LoveTriangle, Reincarnation]
Ayatsuri Sakon	[Mystery, BasedonaManga, Detectives]
Ayumayu Theater	[Comedy, Chibi, Omake, Parody]
Azuki-chan	[Comedy, Romance, SliceofLife, OriginalWork, SchoolLife]
Azuki-chan Movie	[OriginalWork]
Azumanga Daioh	[Comedy, SliceofLife, BasedonaManga, Episodic, SchoolLife]
Azumanga Daioh - The Very Short Movie	[Comedy, BasedonaManga, SchoolLife, Shorts]
Azumanga Web Daioh	[Comedy, BasedonaManga, SchoolLife, Shorts]
Azusa Will Help!	[Sports, Baseball, Maids, OriginalWork, Robots]
B Gata H Kei - Yamada's First Time	[Comedy, Ecchi, Romance, BasedonaManga, SchoolLife, SexualContent, SuddenGirlfriendAppearance]
B't X	[SciFi, BasedonaManga]
B't X Neo	[Action, SciFi]
B-Legend! Battle Bedaman	[Action, Adventure, Fantasy, Shounen, BasedonaManga, BasedonaVideoGame, FamilyFriendly]
B-Legend! Battle Bedaman Fire Spirits	[Action, Adventure, Fantasy, Shounen, BasedonaManga, BasedonaVideoGame, FamilyFriendly, Tournaments]
B.B. Fish	[Drama, Seinen]
BALDR FORCE EXE Resolution	[Action, Mecha, SciFi, Seinen, BasedonanEroge, BasedonaVisualNovel, Cyberpunk, Hacking, MatureThemes, Military, Revenge, Violence]
BAR Kiraware Yasai	[Comedy, BasedonaManga, FoodProtagonists]
BLAME!	[SciFi, Abstract, Androids, Cyberpunk, Robots]
BLAME! Movie	[SciFi, Abstract, Androids, BasedonaManga, Cyberpunk, Robots]
Babel II	[]
Babel II OVA	[]
Babel II: Beyond Infinity	[]
Baby Love	[Romance, Shoujo, BasedonaManga]
Baby Princess 3D Paradise 0 [Love]	[Comedy, Ecchi, Harem, BasedonaNovel]
Baby Steps	[Sports, BasedonaManga, SchoolLife, Tennis, Tournaments]
Baby Steps 2	[Sports, BasedonaManga, Tennis, Tournaments]
Baccano!	[Action, America, BasedonaLightNovel, Trains, Violence]
Baccano! Specials	[Action, America, Violence]
Bad Badtz-Maru In The Ants and the Grasshopper	[]
Bad Badtz-maru no Ookami ga Kita!	[]
Baghdad-jou no Touzoku	[BlackandWhite, Shorts]
Bagi, the Monster of Mighty Nature	[Adventure, AnimalProtagonists, Monsters, Science]
Bajune Tobeta: Aoi Chou	[]
Bajune Tobeta: Lua Calor	[]
Baka to Test to Shoukanjuu	[Comedy, BasedonaLightNovel, Magic, MagicSchool, SchoolLife]
Baka to Test to Shoukanjuu 2	[Comedy, BasedonaLightNovel, Magic, MagicSchool, SchoolLife]
Baka to Test to Shoukanjuu 2: Hideyoshi Hideyoshi Magic Special	[]
Baka to Test to Shoukanjuu Christmas Special	[Comedy]
Baka to Test to Shoukanjuu Specials	[Comedy, Ecchi, Omake]
Baka to Test to Shoukanjuu: Matsuri	[Comedy, SchoolLife]
Baka to Test to Shoukanjuu: Matsuri Special	[Comedy]
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou	[Omake]
Bakegyamon	[Action, Adventure, Fantasy, Shounen, BasedonaManga, Monsters, PersoninaStrangeWorld]
Bakemono no Ko	[Fantasy, JapaneseMythology]
Bakemonogatari	[Comedy, Ecchi, BasedonaLightNovel, Supernatural, Tsundere]
Bakemonogatari Recap	[Comedy, Ecchi, BasedonaLightNovel, Recap, Supernatural, Tsundere]
Bakkyuu HIT! Crash B-Daman	[Action, Adventure, Fantasy, Shounen, BasedonaManga, BasedonaVideoGame, FamilyFriendly]
Baku Tech! Bakugan	[]
Bakugan Battle Brawlers	[Shounen, CardBattles, FamilyFriendly]
Bakugan Battle Brawlers: Gundalian Invaders	[]
Bakugan Battle Brawlers: Mechtanium Surge	[]
Bakugan: New Vestroia	[Shounen, FamilyFriendly]
Bakuhatsu Goro	[]
Bakuman.	[Drama, Shounen, BasedonaManga, MangaIndustry, OtakuCulture]
Bakuman. (2012)	[Drama, Shounen, BasedonaManga, MangaIndustry, OtakuCulture]
Bakuman. (2012) Specials	[]
Bakuman._2	[Drama, Shounen, BasedonaManga, MangaIndustry, OtakuCulture]
Bakuman: Deraman	[Recap]
Bakumatsu Gijinden Roman	[Action, Comedy, BasedonaVideoGame, FeudalJapan]
Bakumatsu Kikansetsu Irohanihoheto	[Mystery, FeudalJapan, OriginalWork, Swordplay, War]
Bakumatsu Rock	[Comedy, BasedonaVideoGame, Historical, Music, RockMusic]
Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!	[Comedy, Historical, RockMusic]
Bakumatsu no Spasibo	[Historical]
Bakuon!!	[Sports, BasedonaManga, SchoolClub, SchoolLife]
Bakuon!! OVA	[Sports, BasedonaManga, SchoolClub, SchoolLife]
Bakusou Kyoudai Let's & Go	[]
Bakuto Sengen Daigander	[Action, Mecha, SciFi, Shounen, Tournaments]
Ball yo Doko e Yuku	[Comedy, Shorts, StopMotionAnimation]
Bamboo Bears	[AnimalProtagonists, Environmental, FamilyFriendly]
Bamboo Blade	[Comedy, Sports, BasedonaManga, SchoolClub, SchoolLife]
Bamboo Blade Specials	[]
Band of Ninja	[FeudalJapan, Ninja, Violence]
Banner of the Stars	[SciFi, BasedonaNovel, Military, OuterSpace, SpaceOpera, War]
Banner of the Stars II	[SciFi, BasedonaNovel, OuterSpace, Political, SpaceOpera, War]
Banner of the Stars III	[SciFi, BasedonaNovel, Military, OuterSpace, SpaceOpera]
Banner of the Stars Movie	[SciFi, BasedonaNovel, OuterSpace, SpaceOpera, War]
Bannertail: The Story of Gray Squirrel	[AnimalProtagonists, Countryside, Episodic, FamilyFriendly]
Bannou Yasai Ninninman	[Fantasy, SliceofLife, AnimeMirai, FamilyFriendly, FoodandBeverage, FoodProtagonists, OriginalWork]
Baoh	[Action, SciFi, BasedonaManga, ExplicitViolence, PhysicalAbuse, Superpowers]
Bara no Hana to Joe	[Shorts]
Barakamon	[Comedy, SliceofLife, BasedonaManga, Countryside]
Barakamon: Mijikamon	[Comedy, Chibi]
Barefoot Gen	[Drama, BasedonaManga, Historical, WorldWar2]
Barefoot Gen 2	[Drama, BasedonaManga, Historical, WorldWar2]
Baribari Densetsu	[Racing]
Barom One	[Action, BasedonaManga, Supernatural]
Bartender	[Drama, BasedonaManga, Episodic, FoodandBeverage, WorkLife]
Basilisk	[Action, Drama, BasedonaManga, FeudalJapan, Ninja, Violence]
Basquash!	[Action, Mecha, SciFi, Shounen, Sports, Basketball, OriginalWork]
Bastard!!	[Fantasy, BasedonaManga, ExplicitViolence, Magic, Medieval, Nudity]
Batman: Gotham Knight	[Action, BasedonaComicBook, Collections]
Baton	[Action, SciFi, Androids, Cyborgs, MartialArts, Robots, Thriller]
Battle Angel Alita	[SciFi, Androids, AnimalAbuse, BasedonaManga, BountyHunters, Cyberpunk, Post-apocalyptic, Robots, Violence]
Battle Angel Alita 3D Special	[]
Battle Arena Toshinden	[Action, HandtoHandCombat, MartialArts, Tournaments]
Battle Athletes	[Ecchi, Sports]
Battle Athletes Victory	[Sports]
Battle Girls: Time Paradox	[Comedy, Ecchi, BasedonaVideoGame, FeudalJapan, PersoninaStrangeWorld, TimeTravel]
Battle Programmer Shirase	[Comedy, Ecchi, Seinen, Hacking, OriginalWork, PantyShots]
Battle Royal High School	[Action, Ecchi, Fantasy, SciFi, MartialArts, Nudity, Violence]
Battle Skipper School	[Action, Comedy, Mecha, SciFi, SchoolLife]
Battle Spirits New Year's Special	[BasedonaCardGame]
Battle Spirits: Brave	[BasedonaCardGame]
Battle Spirits: Burning Soul	[BasedonaCardGame]
Battle Spirits: Heroes	[BasedonaCardGame]
Battle Spirits: Saikyou Ginga Ultimate Zero	[Adventure, Shounen, BasedonaCardGame]
Battle Spirits: Shounen Gekiha Dan	[BasedonaCardGame]
Battle Spirits: Shounen Toppa Version	[BasedonaCardGame]
Battle Spirits: Sword Eyes	[BasedonaCardGame]
Battle Spirits: Sword Eyes Gekitouden	[BasedonaCardGame]
Battle of Clay	[Action, Shorts, StopMotionAnimation]
Battle of Clay 2	[Shorts, StopMotionAnimation, Violence]
Bavel no Hon	[Adventure, Fantasy, Shorts]
Baymax	[Fantasy, Shorts]
Bayonetta: Bloody Fate	[Action, Fantasy]
Be Blues! Ao ni Nare	[Sports, Promotional]
Be Forever Yamato	[Action, Adventure, Drama, SciFi, OriginalWork]
Be-Bop High School	[Comedy, BasedonaManga, Delinquents, SchoolLife, Violence]
Be-Boy Kidnapp'n Idol	[Shounen-ai, Idols, Music, RockMusic]
Beast Saga	[Action, Fantasy, AnimalProtagonists, Superpowers]
Beast Wars II Chou Seimeitai Transformers	[SciFi, Robots]
Beat Shot	[Sports]
Beautiful Bones -Sakurakos Investigation	[Drama, Mystery, BasedonaLightNovel]
Beautiful Name	[Shorts]
Beck	[Drama, BasedonaManga, ComingofAge, Music, RockMusic]
Beelzebub	[Action, Comedy, Shounen, BasedonaManga, Childcare, Delinquents, Demons, Master-ServantRelationship, Superpowers]
Beelzebub Jump Super Anime Tour Special	[Action, Comedy, Shounen, BasedonaManga, Delinquents, Demons, Superpowers]
Beet the Vandel Buster	[Action, Adventure, Fantasy, Shounen, BasedonaManga, Magic, Monsters, Superpowers]
Beet the Vandel Buster Excellion	[Action, Adventure, Fantasy, Shounen, BasedonaManga, Magic, Monsters, Superpowers]
Beginning of Fashion	[AnimalProtagonists, Shorts]
Belle and Sebastian	[Adventure, Europe, FamilyFriendly]
Beluga	[Horror, Shorts]
Bemubemu Hunter Kotengu Tenmaru	[Fantasy, OriginalWork]
Ben-To	[Action, Comedy, BasedonaLightNovel, HandtoHandCombat]
Ben-To Picture Drama	[PictureDrama]
Benkei Tai Ushiwaka	[BlackandWhite, Shorts]
Berserk	[Action, Fantasy, BasedonaManga, Demons, Dystopia, ExplicitSex, ExplicitViolence, Medieval, Mercenaries, SexualAbuse, Swordplay]
Berserk Golden Age Arc I: Egg of the Supreme Ruler	[Action, Fantasy, BasedonaManga, Demons, Medieval, Mercenaries, Nudity, Swordplay]
Berserk Golden Age Arc II: The Battle for Doldrey	[Action, Fantasy, BasedonaManga, Demons, ExplicitSex, Medieval, Mercenaries, Swordplay]
Berserk Golden Age Arc III: Descent	[Action, Fantasy, BasedonaManga, Demons, ExplicitSex, Medieval, Mercenaries, PhysicalAbuse, SexualAbuse, Swordplay]
Best Student Council	[Comedy, BasedonaManga, SchoolLife]
Betterman	[Mecha, SciFi]
Beyblade	[Action, SciFi, Shounen, BasedonaManga, FamilyFriendly, Monsters, Tournaments]
Beyblade - The Movie	[Action, Shounen]
Beyblade Burst	[Action, Shounen]
Beyblade G Revolution	[Action, SciFi, Shounen, BasedonaManga, FamilyFriendly, Monsters]
Beyblade V-Force	[Action, SciFi, Shounen, BasedonaManga, FamilyFriendly, Monsters]
Beyblade: Metal Masters	[Action, Adventure, SciFi, Shounen, BasedonaManga, FamilyFriendly, Monsters]
Beyond the Boundary	[Action, Drama, Fantasy, BasedonaLightNovel, Magic, SchoolLife]
Beyond the Boundary Episode 0: Shinonome	[Action, Fantasy, Magic]
Beyond the Boundary Movie: I'll Be Here - Kako-hen	[Fantasy, BasedonaLightNovel, Recap]
Beyond the Boundary Movie: I'll Be Here - Mirai-hen	[Fantasy, BasedonaLightNovel]
Beyond the Boundary: Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami	[Comedy]
Beyond the Boundary: Mini Theater	[]
Beyond the Boundary: Yakusoku no Kizuna	[]
Beyond the Train Tracks	[]
Big Order	[Action, BasedonaManga, Supernatural, Superpowers]
Big Order TV	[Action, BasedonaManga, Supernatural, Superpowers]
Big Wars	[SciFi, Military, OuterSpace, PsychicPowers, SexualContent]
Bihada Ichizoku	[Drama, Romance, Shoujo, Fashion, OriginalWork, Parody, WorkLife]
Bikini Warriors	[Comedy, Ecchi, Fantasy, Parody, RPG]
Bikini Warriors Special	[Comedy, Ecchi, Fantasy, Parody, RPG]
Binbou Shimai Monogatari	[Drama, SliceofLife, BasedonaManga]
Binbougami ga!	[Comedy, Fantasy, BasedonaManga, Parody, SchoolLife, Supernatural]
Binchou-tan	[Comedy, SliceofLife, BasedonaManga, Chibi, Countryside, FamilyFriendly]
Binchou-tan Movie	[SliceofLife, Chibi, Countryside, FamilyFriendly, Shorts]
Bio Hunter	[Action, Horror, Demons, ExplicitViolence]
Biohazard	[Action, Horror, SciFi, BasedonaVideoGame, CGAnimation, Zombies]
Birdy the Mighty	[Action, SciFi, Aliens, BasedonaManga, BodySharing, Police]
Birdy the Mighty Decode	[Action, SciFi, Aliens, BasedonaManga, BodySharing, GenderBender, Police]
Birdy the Mighty Decode 2	[Action, SciFi, Aliens, BasedonaManga, BodySharing, GenderBender, Police]
Birth	[Action, Adventure, Comedy, SciFi]
Bishoujo Mobage: Mobami-chan	[Promotional]
Bishoujo Senshi Sailor Moon Sailor Stars	[MagicalGirl, Shoujo, Magic]
Bishoujo Senshi Sailor Moon Sailor Stars Hero Club	[MagicalGirl, Shoujo, Magic]
Bite Me! Chameleon	[Ecchi, Crude, Delinquents, SchoolLife]
Black Blood Brothers	[Action, BasedonaLightNovel, Vampires]
Black Bullet	[Action, Mystery, SciFi, BasedonaLightNovel, Insects, Pandemic, Post-apocalyptic]
Black Bullet Special	[Fantasy, MagicalGirl, Magic, Promotional]
Black Cat	[Action, Assassins, BasedonaManga]
Black Cat Special	[]
Black Heaven	[SciFi, Aliens, Music, RockMusic]
Black Jack	[Drama, Episodic]
Black Jack (2001)	[FlashAnimation]
Black Jack - The Movie	[]
Black Jack 21	[Action]
Black Jack Final	[]
Black Jack OVA	[Drama, Episodic]
Black Jack Special: The 4 Miracles of Life	[]
Black Jack: Heian Sento	[]
Black Jack: Karte NG Extras	[]
Black Jack: The Child Who Came From The Sky	[Drama]
Black Jack: The Lost Episodes	[Drama, Episodic]
Black Jack: The Two Doctors of Darkness	[Drama]
Black Lagoon	[Action, BasedonaManga, Gunfights, Mercenaries, Violence]
Black Lagoon Specials	[Comedy, Parody]
Black Lagoon: Roberta's Blood Trail	[Action, Gunfights, Mercenaries, PhysicalAbuse, Revenge, SexualAbuse, Violence]
Black Lagoon: The Second Barrage	[Action, BasedonaManga, Gunfights, Mercenaries, Violence]
Black Lion	[Action, FeudalJapan, Ninja, Samurai]
Black Magic M-66	[Action, Robots]
Black Rock Shooter	[Action, Fantasy, SliceofLife, OriginalWork, SchoolLife]
Black Rock Shooter TV	[Action, Drama, Fantasy, SliceofLife, noitaminA, OriginalWork, Psychological, SchoolLife]
Blade	[Action, BasedonaComicBook, MarvelComics, Vampires]
Blade and Soul	[Action, Fantasy]
Blade and Soul Specials	[Comedy]
Blade of the Immortal	[Action, BasedonaManga, FeudalJapan, Swordplay, Violence]
Blade of the Phantom Master	[Action, Fantasy, Magic]
Blame! Prologue	[SciFi, Abstract, Androids, Cyberpunk, Robots]
Blame! Special	[SciFi, Abstract, Androids, Cyberpunk, Robots]
Blassreiter	[Action, SciFi, Demons, OriginalWork, Racing]
Blassreiter Navigator	[Recap]
Blast of Tempest	[Adventure, Drama, Magic, Revenge]
BlazBlue: Alter Memory	[Action, Fantasy, BasedonaVideoGame]
Blazing Transfer Student	[Action, Sports, Boxing, HandtoHandCombat, SchoolLife]
Bleach	[Action, Shounen, BasedonaManga, Shinigami, Supernatural, Superpowers, Swordplay]
Bleach Movie 1: Memories of Nobody	[Action, Shounen, Shinigami, Supernatural, Swordplay]
